Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2023-01-02 23:00,Flip,1214.33,0.0824,99.937192,0.02,0.02,0.95,0.95,-0.28,-0.28,0.02,0.00
1,Entry long,2023-01-02 08:00,Long Entry,1212.83,0.0824,99.937192,0.02,0.02,0.95,0.95,-0.28,-0.28,0.02,0.00
2,Exit short,2023-01-04 02:00,Flip,1223.63,0.0823,99.939359,-0.87,-0.87,0.88,0.88,-1.53,-1.53,-0.84,0.00
2,Entry short,2023-01-02 23:00,Flip to Short,1214.33,0.0823,99.939359,-0.87,-0.87,0.88,0.88,-1.53,-1.53,-0.84,0.00
3,Exit long,2023-01-04 21:00,Flip,1250.78,0.0817,99.970571,2.12,2.12,4.15,4.15,-0.05,-0.05,1.27,0.00
3,Entry long,2023-01-04 02:00,Flip to Long,1223.63,0.0817,99.970571,2.12,2.12,4.15,4.15,-0.05,-0.05,1.27,0.00
4,Exit short,2023-01-06 16:00,Flip,1262.48,0.0799,99.937322,-1.04,-1.04,1.37,1.37,-1.4,-1.40,0.24,0.00
4,Entry short,2023-01-04 21:00,Flip to Short,1250.78,0.0799,99.937322,-1.04,-1.04,1.37,1.37,-1.4,-1.40,0.24,0.00
5,Exit long,2023-01-08 01:00,Flip,1260.71,0.0792,99.988416,-0.24,-0.24,1.16,1.16,-0.54,-0.54,-0.0004,0.00
5,Entry long,2023-01-06 16:00,Flip to Long,1262.48,0.0792,99.988416,-0.24,-0.24,1.16,1.16,-0.54,-0.54,-0.0004,0.00
6,Exit short,2023-01-08 15:00,Flip,1265.78,0.0793,99.974303,-0.5,-0.50,0.12,0.12,-0.46,-0.46,-0.5,0.00
6,Entry short,2023-01-08 01:00,Flip to Short,1260.71,0.0793,99.974303,-0.5,-0.50,0.12,0.12,-0.46,-0.46,-0.5,0.00
7,Exit long,2023-01-11 04:00,Max Hold,1330.52,0.079,99.99662,5.01,5.01,6.5,6.50,-0.43,-0.43,4.51,0.00
7,Entry long,2023-01-08 15:00,Flip to Long,1265.78,0.079,99.99662,5.01,5.01,6.5,6.50,-0.43,-0.43,4.51,0.00
8,Exit short,2023-01-11 19:00,Flip,1337.16,0.0756,99.979488,-1.21,-1.21,0.07,0.07,-1.77,-1.77,3.3,0.00
8,Entry short,2023-01-11 16:00,Short Entry,1322.48,0.0756,99.979488,-1.21,-1.21,0.07,0.07,-1.77,-1.77,3.3,0.00
9,Exit long,2023-01-12 15:00,Flip,1381.13,0.0747,99.885852,3.18,3.19,6.12,6.12,-0.25,-0.25,6.48,0.01
9,Entry long,2023-01-11 19:00,Flip to Long,1337.16,0.0747,99.885852,3.18,3.19,6.12,6.12,-0.25,-0.25,6.48,0.01
10,Exit short,2023-01-12 18:00,Flip,1428.74,0.0724,99.993812,-3.55,-3.55,0.05,0.05,-3.99,-3.99,2.93,0.00
10,Entry short,2023-01-12 15:00,Flip to Short,1381.13,0.0724,99.993812,-3.55,-3.55,0.05,0.05,-3.99,-3.99,2.93,0.00
11,Exit long,2023-01-15 01:00,Flip,1528.91,0.0699,99.868926,6.9,6.90,15.06,15.07,-2.01,-2.01,9.83,0.01
11,Entry long,2023-01-12 18:00,Flip to Long,1428.74,0.0699,99.868926,6.9,6.90,15.06,15.07,-2.01,-2.01,9.83,0.01
12,Exit short,2023-01-15 16:00,Flip,1557.58,0.0654,99.990714,-1.98,-1.98,0.74,0.74,-2.28,-2.28,7.86,0.01
12,Entry short,2023-01-15 01:00,Flip to Short,1528.91,0.0654,99.990714,-1.98,-1.98,0.74,0.74,-2.28,-2.28,7.86,0.01
13,Exit long,2023-01-16 09:00,Flip,1538.58,0.0641,99.840878,-1.32,-1.32,1.8,1.81,-2.46,-2.46,6.54,0.01
13,Entry long,2023-01-15 16:00,Flip to Long,1557.58,0.0641,99.840878,-1.32,-1.32,1.8,1.81,-2.46,-2.46,6.54,0.01
14,Exit short,2023-01-16 20:00,Flip,1592,0.0649,99.853842,-3.57,-3.57,1.11,1.11,-4.72,-4.72,2.97,0.00
14,Entry short,2023-01-16 09:00,Flip to Short,1538.58,0.0649,99.853842,-3.57,-3.57,1.11,1.11,-4.72,-4.72,2.97,0.00
15,Exit long,2023-01-18 16:00,Flip,1550.03,0.0628,99.9776,-2.73,-2.73,1.37,1.37,-3.83,-3.83,0.24,0.00
15,Entry long,2023-01-16 20:00,Flip to Long,1592,0.0628,99.9776,-2.73,-2.73,1.37,1.37,-3.83,-3.83,0.24,0.00
16,Exit short,2023-01-19 15:00,Flip,1533.38,0.0645,99.976935,0.97,0.97,3.1,3.10,-1.14,-1.14,1.21,0.00
16,Entry short,2023-01-18 16:00,Flip to Short,1550.03,0.0645,99.976935,0.97,0.97,3.1,3.10,-1.14,-1.14,1.21,0.00
17,Exit long,2023-01-21 12:00,Flip,1647.76,0.0652,99.976376,7.35,7.35,9.67,9.67,-0.83,-0.83,8.56,0.01
17,Entry long,2023-01-19 15:00,Flip to Long,1533.38,0.0652,99.976376,7.35,7.35,9.67,9.67,-0.83,-0.83,8.56,0.01
18,Exit short,2023-01-22 15:00,Flip,1642.98,0.0606,99.854256,0.19,0.19,2.64,2.64,-1.4,-1.40,8.75,0.01
18,Entry short,2023-01-21 12:00,Flip to Short,1647.76,0.0606,99.854256,0.19,0.19,2.64,2.64,-1.4,-1.40,8.75,0.01
19,Exit long,2023-01-23 14:00,Flip,1622.83,0.0608,99.893184,-1.32,-1.33,1.35,1.35,-2.19,-2.19,7.43,0.01
