Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit short,2023-01-02 23:00,Mid Exit,1214.33,0.0821,99.884502,0.19,0.19,0.54,0.54,-0.69,-0.69,0.19,0.00
1,Entry short,2023-01-02 18:00,Short Entry,1216.62,0.0821,99.884502,0.19,0.19,0.54,0.54,-0.69,-0.69,0.19,0.00
2,Exit short,2023-01-05 02:00,Mid Exit,1253.69,0.0797,99.878446,-0.04,-0.04,1.16,1.16,-1.74,-1.74,0.15,0.00
2,Entry short,2023-01-04 14:00,Short Entry,1253.18,0.0797,99.878446,-0.04,-0.04,1.16,1.16,-1.74,-1.74,0.15,0.00
3,Exit short,2023-01-07 05:00,Mid Exit,1264.16,0.0788,99.916824,0.3,0.30,0.39,0.39,-0.04,-0.04,0.45,0.00
3,Entry short,2023-01-07 02:00,Short Entry,1267.98,0.0788,99.916824,0.3,0.30,0.39,0.39,-0.04,-0.04,0.45,0.00
4,Exit short,2023-01-09 21:00,Mid Exit,1321.74,0.0757,99.887664,-0.17,-0.17,0.27,0.27,-1.93,-1.93,0.28,0.00
4,Entry short,2023-01-09 14:00,Short Entry,1319.52,0.0757,99.887664,-0.17,-0.17,0.27,0.27,-1.93,-1.93,0.28,0.00
5,Exit long,2023-01-10 07:00,Mid Exit,1325,0.0752,99.86936,-0.23,-0.23,0.06,0.06,-0.43,-0.43,0.05,0.00
5,Entry long,2023-01-10 05:00,Long Entry,1328.05,0.0752,99.86936,-0.23,-0.23,0.06,0.06,-0.43,-0.43,0.05,0.00
6,Exit short,2023-01-12 11:00,Mid Exit,1399.89,0.0714,99.972852,0.02,0.02,0.24,0.24,-0.23,-0.23,0.07,0.00
6,Entry short,2023-01-12 10:00,Short Entry,1400.18,0.0714,99.972852,0.02,0.02,0.24,0.24,-0.23,-0.23,0.07,0.00
7,Exit long,2023-01-12 13:00,Mid Exit,1399.88,0.0715,99.97845,0.11,0.11,0.18,0.18,-0.58,-0.58,0.18,0.00
7,Entry long,2023-01-12 12:00,Long Entry,1398.3,0.0715,99.97845,0.11,0.11,0.18,0.18,-0.58,-0.58,0.18,0.00
8,Exit long,2023-01-12 18:00,Mid Exit,1428.74,0.0721,99.905365,3.11,3.11,3.6,3.60,-0.2,-0.20,3.28,0.00
8,Entry long,2023-01-12 16:00,Long Entry,1385.65,0.0721,99.905365,3.11,3.11,3.6,3.60,-0.2,-0.20,3.28,0.00
9,Exit short,2023-01-13 04:00,Mid Exit,1414.73,0.0706,99.95901,0.08,0.08,1.07,1.07,-0.18,-0.18,3.36,0.00
9,Entry short,2023-01-13 00:00,Short Entry,1415.85,0.0706,99.95901,0.08,0.08,1.07,1.07,-0.18,-0.18,3.36,0.00
10,Exit long,2023-01-13 11:00,Mid Exit,1416.19,0.0709,99.88392,0.52,0.52,0.78,0.78,-0.37,-0.37,3.88,0.00
10,Entry long,2023-01-13 09:00,Long Entry,1408.8,0.0709,99.88392,0.52,0.52,0.78,0.78,-0.37,-0.37,3.88,0.00
11,Exit short,2023-01-14 11:00,Mid Exit,1523.76,0.0708,99.92004,-7.96,-7.97,0.09,0.09,-16.54,-16.55,-4.08,0.00
