Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
336,Exit long,2025-10-09 04:00,Flip,4448.8,0.0221,99.729565,-1.51,-1.51,0.5,0.51,-2.54,-2.55,95.34,0.10
336,Entry long,2025-10-08 20:00,Long Entry,4512.65,0.0221,99.729565,-1.51,-1.51,0.5,0.51,-2.54,-2.55,95.34,0.10
337,Exit short,2025-10-09 07:00,Max Hold,4426.81,0.0224,99.65312,0.39,0.39,0.57,0.57,-0.27,-0.28,95.73,0.10
337,Entry short,2025-10-09 04:00,Flip to Short,4448.8,0.0224,99.65312,0.39,0.39,0.57,0.57,-0.27,-0.28,95.73,0.10
338,Exit short,2025-10-11 03:00,Max Hold,3839.05,0.0243,99.641907,6.26,6.28,16.97,17.02,-0.91,-0.92,101.99,0.10
338,Entry short,2025-10-10 16:00,Short Entry,4100.49,0.0243,99.641907,6.26,6.28,16.97,17.02,-0.91,-0.92,101.99,0.10
339,Exit short,2025-10-12 08:00,Flip,3825.26,0.027,99.73071,-3.65,-3.66,1.4,1.40,-4.06,-4.07,98.33,0.10
339,Entry short,2025-10-11 21:00,Short Entry,3693.73,0.027,99.73071,-3.65,-3.66,1.4,1.40,-4.06,-4.07,98.33,0.10
340,Exit long,2025-10-12 09:00,Max Hold,3820.53,0.0261,99.839286,-0.22,-0.22,0.44,0.44,-0.22,-0.22,98.11,0.10
340,Entry long,2025-10-12 08:00,Flip to Long,3825.26,0.0261,99.839286,-0.22,-0.22,0.44,0.44,-0.22,-0.22,98.11,0.10
341,Exit short,2025-10-13 19:00,Flip,4226.31,0.0241,99.616145,-2.34,-2.35,0.11,0.11,-2.59,-2.60,95.77,0.10
341,Entry short,2025-10-13 16:00,Short Entry,4133.45,0.0241,99.616145,-2.34,-2.35,0.11,0.11,-2.59,-2.60,95.77,0.10
342,Exit long,2025-10-14 03:00,Max Hold,4170.41,0.0236,99.740916,-1.42,-1.42,1.52,1.53,-1.48,-1.49,94.35,0.09
342,Entry long,2025-10-13 19:00,Flip to Long,4226.31,0.0236,99.740916,-1.42,-1.42,1.52,1.53,-1.48,-1.49,94.35,0.09
343,Exit short,2025-10-14 16:00,Max Hold,4083.25,0.0244,99.98998,0.26,0.26,5.14,5.14,-0.7,-0.70,94.61,0.09
343,Entry short,2025-10-14 05:00,Short Entry,4097.95,0.0244,99.98998,0.26,0.26,5.14,5.14,-0.7,-0.70,94.61,0.09
344,Exit long,2025-10-15 06:00,Max Hold,4108.35,0.0242,99.67617,-0.35,-0.35,0.62,0.62,-1.81,-1.82,94.26,0.09
344,Entry long,2025-10-14 19:00,Long Entry,4118.85,0.0242,99.67617,-0.35,-0.35,0.62,0.62,-1.81,-1.82,94.26,0.09
345,Exit long,2025-10-15 15:00,Flip,4007.87,0.0239,99.905107,-4.21,-4.22,0.02,0.02,-4.59,-4.60,90.04,0.09
345,Entry long,2025-10-15 09:00,Long Entry,4180.13,0.0239,99.905107,-4.21,-4.22,0.02,0.02,-4.59,-4.60,90.04,0.09
346,Exit short,2025-10-15 20:00,Max Hold,3981.27,0.0249,99.795963,0.56,0.56,1.97,1.97,-0.72,-0.72,90.61,0.09
346,Entry short,2025-10-15 15:00,Flip to Short,4007.87,0.0249,99.795963,0.56,0.56,1.97,1.97,-0.72,-0.72,90.61,0.09
347,Exit long,2025-10-16 17:00,SL,3962.8,0.0246,99.888546,-2.5,-2.50,0.66,0.66,-5.11,-5.11,88.11,0.09
347,Entry long,2025-10-16 12:00,Long Entry,4060.51,0.0246,99.888546,-2.5,-2.50,0.66,0.66,-5.11,-5.11,88.11,0.09
348,Exit short,2025-10-17 18:00,Max Hold,3815.66,0.0261,99.669114,-0.02,-0.02,3.81,3.82,-0.71,-0.71,88.09,0.09
348,Entry short,2025-10-17 07:00,Short Entry,3818.74,0.0261,99.669114,-0.02,-0.02,3.81,3.82,-0.71,-0.71,88.09,0.09
349,Exit long,2025-10-18 08:00,Max Hold,3890.46,0.0259,99.869105,0.79,0.79,1.76,1.77,-1.05,-1.05,88.88,0.09
349,Entry long,2025-10-17 21:00,Long Entry,3855.95,0.0259,99.869105,0.79,0.79,1.76,1.77,-1.05,-1.05,88.88,0.09
350,Exit long,2025-10-20 00:00,Max Hold,3980.6,0.0255,99.98193,1.42,1.42,2.73,2.73,-0.28,-0.28,90.3,0.09
350,Entry long,2025-10-19 13:00,Long Entry,3920.86,0.0255,99.98193,1.42,1.42,2.73,2.73,-0.28,-0.28,90.3,0.09
351,Exit long,2025-10-20 17:00,Max Hold,3947.76,0.0246,99.857796,-2.84,-2.84,0.58,0.58,-3.38,-3.38,87.46,0.09
351,Entry long,2025-10-20 06:00,Long Entry,4059.26,0.0246,99.857796,-2.84,-2.84,0.58,0.58,-3.38,-3.38,87.46,0.09
352,Exit short,2025-10-21 05:00,Max Hold,3849.22,0.0253,99.923868,2.44,2.44,2.68,2.68,-1.38,-1.38,89.9,0.09
352,Entry short,2025-10-20 18:00,Short Entry,3949.56,0.0253,99.923868,2.44,2.44,2.68,2.68,-1.38,-1.38,89.9,0.09
353,Exit long,2025-10-22 00:00,SL,3871.11,0.0245,99.970045,-5.23,-5.22,0.64,0.64,-5.56,-5.56,84.68,0.08
353,Entry long,2025-10-21 16:00,Long Entry,4080.41,0.0245,99.970045,-5.23,-5.22,0.64,0.64,-5.56,-5.56,84.68,0.08
354,Exit short,2025-10-22 12:00,Max Hold,3827.03,0.026,99.85014,0.25,0.25,1.91,1.91,-1.16,-1.16,84.92,0.08
354,Entry short,2025-10-22 01:00,Short Entry,3840.39,0.026,99.85014,0.25,0.25,1.91,1.91,-1.16,-1.16,84.92,0.08
355,Exit long,2025-10-23 18:00,Max Hold,3919.38,0.0257,99.967346,0.66,0.66,1.07,1.07,-2.18,-2.18,85.58,0.09
355,Entry long,2025-10-23 07:00,Long Entry,3889.78,0.0257,99.967346,0.66,0.66,1.07,1.07,-2.18,-2.18,85.58,0.09
356,Exit short,2025-10-24 05:00,Flip,3972.84,0.0259,99.850198,-3.15,-3.15,0.24,0.24,-3.25,-3.26,82.44,0.08
356,Entry short,2025-10-24 00:00,Short Entry,3855.22,0.0259,99.850198,-3.15,-3.15,0.24,0.24,-3.25,-3.26,82.44,0.08
357,Exit long,2025-10-24 11:00,Max Hold,3954.95,0.0251,99.718284,-0.55,-0.55,0.33,0.33,-1.17,-1.18,81.89,0.08
357,Entry long,2025-10-24 05:00,Flip to Long,3972.84,0.0251,99.718284,-0.55,-0.55,0.33,0.33,-1.17,-1.18,81.89,0.08
358,Exit short,2025-10-25 05:00,Max Hold,3921.09,0.0257,99.889732,-0.98,-0.98,0.07,0.07,-1.52,-1.52,80.9,0.08
358,Entry short,2025-10-24 18:00,Short Entry,3886.76,0.0257,99.889732,-0.98,-0.98,0.07,0.07,-1.52,-1.52,80.9,0.08
359,Exit long,2025-10-26 23:00,Max Hold,4158.55,0.0247,99.864076,2.75,2.75,3.31,3.32,-0.15,-0.15,83.66,0.08
359,Entry long,2025-10-26 12:00,Long Entry,4043.08,0.0247,99.864076,2.75,2.75,3.31,3.32,-0.15,-0.15,83.66,0.08
360,Exit short,2025-10-28 10:00,Max Hold,4120.81,0.0242,99.7282,-0.1,-0.10,1.32,1.33,-0.52,-0.52,83.56,0.08
360,Entry short,2025-10-27 23:00,Short Entry,4121,0.0242,99.7282,-0.1,-0.10,1.32,1.33,-0.52,-0.52,83.56,0.08
361,Exit short,2025-10-29 08:00,Max Hold,4022.83,0.0251,99.8227,-1.25,-1.25,1.26,1.26,-1.51,-1.51,82.31,0.08
361,Entry short,2025-10-28 21:00,Short Entry,3977,0.0251,99.8227,-1.25,-1.25,1.26,1.26,-1.51,-1.51,82.31,0.08
362,Exit short,2025-10-30 03:00,Max Hold,3943.95,0.0253,99.940819,0.06,0.06,2.84,2.84,-1.74,-1.74,82.37,0.08
362,Entry short,2025-10-29 16:00,Short Entry,3950.23,0.0253,99.940819,0.06,0.06,2.84,2.84,-1.74,-1.74,82.37,0.08
363,Exit long,2025-10-31 15:00,Max Hold,3865.97,0.0261,99.90036,0.9,0.90,1.5,1.50,-0.35,-0.35,83.27,0.08
363,Entry long,2025-10-31 04:00,Long Entry,3827.6,0.0261,99.90036,0.9,0.90,1.5,1.50,-0.35,-0.35,83.27,0.08
364,Exit short,2025-11-03 03:00,Max Hold,3797.4,0.0259,99.757217,1.31,1.31,1.81,1.81,-1.69,-1.69,84.58,0.08
364,Entry short,2025-11-02 16:00,Short Entry,3851.63,0.0259,99.757217,1.31,1.31,1.81,1.81,-1.69,-1.69,84.58,0.08
365,Exit short,2025-11-04 17:00,Max Hold,3428.3,0.0286,99.822866,1.67,1.68,1.88,1.88,-2.79,-2.79,86.25,0.09
365,Entry short,2025-11-04 06:00,Short Entry,3490.31,0.0286,99.822866,1.67,1.68,1.88,1.88,-2.79,-2.79,86.25,0.09
