Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2023-01-03 08:00,Max Hold,1213.24,0.0824,99.937192,-0.07,-0.07,0.95,0.95,-0.28,-0.28,-0.07,0.00
1,Entry long,2023-01-02 16:00,Long Entry,1212.83,0.0824,99.937192,-0.07,-0.07,0.95,0.95,-0.28,-0.28,-0.07,0.00
2,Exit long,2023-01-05 04:00,Max Hold,1254.14,0.0799,99.901367,0.2,0.20,1.92,1.92,-0.99,-0.99,0.14,0.00
2,Entry long,2023-01-04 12:00,Long Entry,1250.33,0.0799,99.901367,0.2,0.20,1.92,1.92,-0.99,-0.99,0.14,0.00
3,Exit long,2023-01-10 00:00,Max Hold,1335.55,0.0775,99.9471,3.46,3.46,4.03,4.03,-0.42,-0.42,3.59,0.00
3,Entry long,2023-01-09 08:00,Long Entry,1289.64,0.0775,99.9471,3.46,3.46,4.03,4.03,-0.42,-0.42,3.59,0.00
4,Exit long,2023-01-13 00:00,Max Hold,1385.65,0.0719,99.887075,-0.36,-0.36,2.14,2.14,-2.3,-2.30,3.24,0.00
4,Entry long,2023-01-12 08:00,Long Entry,1389.25,0.0719,99.887075,-0.36,-0.36,2.14,2.14,-2.3,-2.30,3.24,0.00
5,Exit long,2023-01-13 18:00,Max Hold,1409.84,0.0699,99.868926,-1.42,-1.42,0.69,0.69,-2.01,-2.01,1.82,0.00
5,Entry long,2023-01-13 02:00,Long Entry,1428.74,0.0699,99.868926,-1.42,-1.42,0.69,0.69,-2.01,-2.01,1.82,0.00
6,Exit long,2023-01-15 01:00,Max Hold,1530.34,0.0648,99.964368,-0.9,-0.90,1.54,1.54,-2.46,-2.46,0.92,0.00
6,Entry long,2023-01-14 09:00,Long Entry,1542.66,0.0648,99.964368,-0.9,-0.90,1.54,1.54,-2.46,-2.46,0.92,0.00
7,Exit long,2023-01-21 21:00,Max Hold,1659.17,0.0609,99.982575,0.96,0.96,2.43,2.43,-1.66,-1.66,1.88,0.00
7,Entry long,2023-01-21 05:00,Long Entry,1641.75,0.0609,99.982575,0.96,0.96,2.43,2.43,-1.66,-1.66,1.88,0.00
8,Exit short,2023-01-26 01:00,Max Hold,1548.31,0.0645,99.87825,-0.09,-0.09,2.28,2.29,-1.2,-1.20,1.79,0.00
8,Entry short,2023-01-25 09:00,Short Entry,1548.5,0.0645,99.87825,-0.09,-0.09,2.28,2.29,-1.2,-1.20,1.79,0.00
9,Exit long,2023-02-03 01:00,Max Hold,1672.26,0.059,99.84275,-1.28,-1.28,0.05,0.05,-2.57,-2.58,0.51,0.00
9,Entry long,2023-02-02 09:00,Long Entry,1692.25,0.059,99.84275,-1.28,-1.28,0.05,0.05,-2.57,-2.58,0.51,0.00
10,Exit short,2023-02-10 20:00,Max Hold,1536.59,0.0633,99.955764,2.59,2.59,3.56,3.56,-0.23,-0.23,3.1,0.00
10,Entry short,2023-02-10 04:00,Short Entry,1579.08,0.0633,99.955764,2.59,2.59,3.56,3.56,-0.23,-0.23,3.1,0.00
11,Exit short,2023-02-11 16:00,Max Hold,1519.86,0.0657,99.966492,0.01,0.01,2.27,2.27,-1.21,-1.21,3.11,0.00
11,Entry short,2023-02-11 00:00,Short Entry,1521.56,0.0657,99.966492,0.01,0.01,2.27,2.27,-1.21,-1.21,3.11,0.00
