Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
21,Entry short,2023-01-21 13:00,Short Entry,1659.17,0.0602,99.882034,2,2.00,3.36,3.36,-0.65,-0.65,-11.7,-0.01
22,Exit long,2023-01-24 11:00,Flip,1623.24,0.0614,99.970866,-0.3,-0.31,0.84,0.84,-0.91,-0.91,-12,-0.01
22,Entry long,2023-01-23 23:00,Long Entry,1628.19,0.0614,99.970866,-0.3,-0.31,0.84,0.84,-0.91,-0.91,-12,-0.01
23,Exit short,2023-01-24 21:00,Max Hold,1615.53,0.0616,99.991584,0.47,0.47,1.3,1.30,-0.6,-0.60,-11.53,-0.01
23,Entry short,2023-01-24 11:00,Flip to Short,1623.24,0.0616,99.991584,0.47,0.47,1.3,1.30,-0.6,-0.60,-11.53,-0.01
24,Exit long,2023-01-26 12:00,Max Hold,1604.3,0.0643,99.938275,3.22,3.22,5.59,5.59,-1.99,-1.99,-8.31,-0.01
24,Entry long,2023-01-25 14:00,Long Entry,1554.25,0.0643,99.938275,3.22,3.22,5.59,5.59,-1.99,-1.99,-8.31,-0.01
25,Exit short,2023-01-27 16:00,Max Hold,1574.24,0.0628,99.956876,1.09,1.09,2.55,2.55,-1.26,-1.26,-7.22,-0.01
25,Entry short,2023-01-26 18:00,Short Entry,1591.67,0.0628,99.956876,1.09,1.09,2.55,2.55,-1.26,-1.26,-7.22,-0.01
26,Exit long,2023-01-28 09:00,Flip,1586.74,0.0622,99.84033,-1.15,-1.15,1.01,1.02,-1.27,-1.27,-8.36,-0.01
26,Entry long,2023-01-27 18:00,Long Entry,1605.15,0.0622,99.84033,-1.15,-1.15,1.01,1.02,-1.27,-1.27,-8.36,-0.01
27,Exit short,2023-01-28 16:00,Max Hold,1577.97,0.063,99.96462,0.55,0.55,1.58,1.58,-0.43,-0.43,-7.81,-0.01
27,Entry short,2023-01-28 09:00,Flip to Short,1586.74,0.063,99.96462,0.55,0.55,1.58,1.58,-0.43,-0.43,-7.81,-0.01
28,Exit long,2023-01-30 00:00,Max Hold,1645.67,0.0623,99.868146,2.66,2.66,3.78,3.78,-1.34,-1.34,-5.15,-0.01
28,Entry long,2023-01-29 02:00,Long Entry,1603.02,0.0623,99.868146,2.66,2.66,3.78,3.78,-1.34,-1.34,-5.15,-0.01
29,Exit short,2023-01-31 05:00,Max Hold,1572.65,0.0613,99.946585,3.54,3.54,6.22,6.22,-0.18,-0.18,-1.61,0.00
29,Entry short,2023-01-30 07:00,Short Entry,1630.45,0.0613,99.946585,3.54,3.54,6.22,6.22,-0.18,-0.18,-1.61,0.00
30,Exit long,2023-02-01 07:00,Max Hold,1574.5,0.0636,99.952488,0.18,0.18,2.17,2.17,-0.49,-0.49,-1.43,0.00
30,Entry long,2023-01-31 09:00,Long Entry,1571.58,0.0636,99.952488,0.18,0.18,2.17,2.17,-0.49,-0.49,-1.43,0.00
31,Exit short,2023-02-01 14:00,Flip,1581.33,0.0636,99.879984,-0.69,-0.69,0.29,0.29,-1.1,-1.11,-2.12,0.00
31,Entry short,2023-02-01 09:00,Short Entry,1570.44,0.0636,99.879984,-0.69,-0.69,0.29,0.29,-1.1,-1.11,-2.12,0.00
32,Exit long,2023-02-01 18:00,Flip,1571.12,0.0632,99.940056,-0.65,-0.65,0.57,0.57,-0.94,-0.94,-2.77,0.00
32,Entry long,2023-02-01 14:00,Flip to Long,1581.33,0.0632,99.940056,-0.65,-0.65,0.57,0.57,-0.94,-0.94,-2.77,0.00
33,Exit short,2023-02-01 19:00,Flip,1580.97,0.0636,99.923232,-0.63,-0.63,0.29,0.29,-1.01,-1.01,-3.4,0.00
33,Entry short,2023-02-01 18:00,Flip to Short,1571.12,0.0636,99.923232,-0.63,-0.63,0.29,0.29,-1.01,-1.01,-3.4,0.00
34,Exit long,2023-02-02 07:00,Max Hold,1667.35,0.0632,99.917304,5.46,5.46,7.46,7.47,-1.67,-1.67,2.06,0.00
34,Entry long,2023-02-01 19:00,Flip to Long,1580.97,0.0632,99.917304,5.46,5.46,7.46,7.47,-1.67,-1.67,2.06,0.00
35,Exit short,2023-02-03 13:00,Max Hold,1651.86,0.0603,99.891774,0.28,0.28,1.9,1.91,-3.64,-3.65,2.35,0.00
35,Entry short,2023-02-02 15:00,Short Entry,1656.58,0.0603,99.891774,0.28,0.28,1.9,1.91,-3.64,-3.65,2.35,0.00
36,Exit long,2023-02-05 01:00,Flip,1663.84,0.0593,99.911012,-1.25,-1.25,0.4,0.40,-1.68,-1.68,1.1,0.00
36,Entry long,2023-02-04 14:00,Long Entry,1684.84,0.0593,99.911012,-1.25,-1.25,0.4,0.40,-1.68,-1.68,1.1,0.00
37,Exit short,2023-02-05 12:00,Max Hold,1662.44,0.0601,99.996784,0.08,0.08,0.43,0.43,-0.65,-0.65,1.18,0.00
37,Entry short,2023-02-05 01:00,Flip to Short,1663.84,0.0601,99.996784,0.08,0.08,0.43,0.43,-0.65,-0.65,1.18,0.00
38,Exit long,2023-02-07 06:00,Max Hold,1634.25,0.0611,99.903388,-0.05,-0.05,1.46,1.46,-2.02,-2.02,1.13,0.00
38,Entry long,2023-02-06 08:00,Long Entry,1635.08,0.0611,99.903388,-0.05,-0.05,1.46,1.46,-2.02,-2.02,1.13,0.00
39,Exit short,2023-02-09 11:00,Max Hold,1633.09,0.0598,99.97962,2.32,2.32,3.81,3.82,-0.67,-0.67,3.45,0.00
39,Entry short,2023-02-08 13:00,Short Entry,1671.9,0.0598,99.97962,2.32,2.32,3.81,3.82,-0.67,-0.67,3.45,0.00
40,Exit long,2023-02-11 11:00,Max Hold,1518.08,0.0652,99.995284,-1.02,-1.02,0.91,0.91,-3.09,-3.09,2.43,0.00
40,Entry long,2023-02-10 13:00,Long Entry,1533.67,0.0652,99.995284,-1.02,-1.02,0.91,0.91,-3.09,-3.09,2.43,0.00
41,Exit short,2023-02-13 21:00,Max Hold,1488.01,0.0661,99.98947,1.63,1.63,3.48,3.48,-0.89,-0.89,4.06,0.00
41,Entry short,2023-02-12 23:00,Short Entry,1512.7,0.0661,99.98947,1.63,1.63,3.48,3.48,-0.89,-0.89,4.06,0.00
42,Exit long,2023-02-14 22:00,Max Hold,1554.69,0.0664,99.922704,3.31,3.31,4.26,4.26,-2.32,-2.32,7.37,0.01
42,Entry long,2023-02-14 00:00,Long Entry,1504.86,0.0664,99.922704,3.31,3.31,4.26,4.26,-2.32,-2.32,7.37,0.01
43,Exit short,2023-02-15 13:00,Flip,1584.47,0.0645,99.916305,-2.28,-2.28,0.37,0.37,-2.96,-2.96,5.09,0.01
43,Entry short,2023-02-15 07:00,Short Entry,1549.09,0.0645,99.916305,-2.28,-2.28,0.37,0.37,-2.96,-2.96,5.09,0.01
44,Exit long,2023-02-16 05:00,Max Hold,1695.03,0.0631,99.980057,6.98,6.98,8.24,8.24,-1.23,-1.23,12.06,0.01
44,Entry long,2023-02-15 13:00,Flip to Long,1584.47,0.0631,99.980057,6.98,6.98,8.24,8.24,-1.23,-1.23,12.06,0.01
45,Exit short,2023-02-17 09:00,Max Hold,1664.91,0.0592,99.915392,1.35,1.35,3.34,3.34,-3.36,-3.36,13.42,0.01
45,Entry short,2023-02-16 11:00,Short Entry,1687.76,0.0592,99.915392,1.35,1.35,3.34,3.34,-3.36,-3.36,13.42,0.01
46,Exit long,2023-02-18 06:00,Flip,1698.69,0.0586,99.996798,-0.45,-0.45,0.95,0.95,-2.14,-2.14,12.96,0.01
46,Entry long,2023-02-17 20:00,Long Entry,1706.43,0.0586,99.996798,-0.45,-0.45,0.95,0.95,-2.14,-2.14,12.96,0.01
47,Exit short,2023-02-18 18:00,Max Hold,1695.19,0.0588,99.882972,0.2,0.21,0.75,0.75,-0.08,-0.08,13.17,0.01
47,Entry short,2023-02-18 06:00,Flip to Short,1698.69,0.0588,99.882972,0.2,0.21,0.75,0.75,-0.08,-0.08,13.17,0.01
48,Exit long,2023-02-19 18:00,Flip,1682.58,0.0586,99.876668,-1.28,-1.28,1.48,1.48,-1.72,-1.72,11.89,0.01
48,Entry long,2023-02-19 15:00,Long Entry,1704.38,0.0586,99.876668,-1.28,-1.28,1.48,1.48,-1.72,-1.72,11.89,0.01
49,Exit short,2023-02-20 07:00,Flip,1694.08,0.0594,99.945252,-0.68,-0.68,1.93,1.94,-0.83,-0.83,11.2,0.01
49,Entry short,2023-02-19 18:00,Flip to Short,1682.58,0.0594,99.945252,-0.68,-0.68,1.93,1.94,-0.83,-0.83,11.2,0.01
50,Exit long,2023-02-20 13:00,Max Hold,1706.88,0.059,99.95072,0.75,0.75,1.55,1.55,-0.33,-0.33,11.96,0.01
50,Entry long,2023-02-20 07:00,Flip to Long,1694.08,0.059,99.95072,0.75,0.75,1.55,1.55,-0.33,-0.33,11.96,0.01
51,Exit short,2023-02-21 07:00,Flip,1707.63,0.0588,99.831228,-0.58,-0.58,0.1,0.10,-0.8,-0.80,11.38,0.01
51,Entry short,2023-02-21 06:00,Short Entry,1697.81,0.0588,99.831228,-0.58,-0.58,0.1,0.10,-0.8,-0.80,11.38,0.01
52,Exit long,2023-02-21 09:00,Flip,1675.01,0.0585,99.896355,-1.91,-1.91,0.41,0.41,-2.15,-2.15,9.47,0.01
52,Entry long,2023-02-21 07:00,Flip to Long,1707.63,0.0585,99.896355,-1.91,-1.91,0.41,0.41,-2.15,-2.15,9.47,0.01
53,Exit short,2023-02-22 04:00,Max Hold,1649.08,0.0597,99.998097,1.55,1.55,3.28,3.28,-0.7,-0.70,11.02,0.01
53,Entry short,2023-02-21 09:00,Flip to Short,1675.01,0.0597,99.998097,1.55,1.55,3.28,3.28,-0.7,-0.70,11.02,0.01
54,Exit long,2023-02-22 16:00,Flip,1612.69,0.0608,99.96736,-1.92,-1.92,0.35,0.35,-2.44,-2.44,9.1,0.01
54,Entry long,2023-02-22 12:00,Long Entry,1644.2,0.0608,99.96736,-1.92,-1.92,0.35,0.35,-2.44,-2.44,9.1,0.01
55,Exit short,2023-02-22 23:00,Flip,1634.06,0.062,99.98678,-1.33,-1.33,1.33,1.33,-1.38,-1.38,7.78,0.01
