Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit short,2025-01-02 09:00,Max Hold,3389.11,0.0299,99.95869,-1.48,-1.48,0.61,0.61,-1.74,-1.74,-1.48,0.00
1,Entry short,2025-01-01 22:00,Short Entry,3343.1,0.0299,99.95869,-1.48,-1.48,0.61,0.61,-1.74,-1.74,-1.48,0.00
2,Exit long,2025-01-03 04:00,Max Hold,3462.32,0.029,99.70142,0.61,0.61,2.07,2.08,-0.34,-0.34,-0.87,0.00
2,Entry long,2025-01-02 17:00,Long Entry,3437.98,0.029,99.70142,0.61,0.61,2.07,2.08,-0.34,-0.34,-0.87,0.00
3,Exit long,2025-01-04 13:00,Max Hold,3590.91,0.0279,99.722133,0.36,0.37,1.51,1.51,-0.08,-0.08,-0.51,0.00
3,Entry long,2025-01-04 02:00,Long Entry,3574.27,0.0279,99.722133,0.36,0.37,1.51,1.51,-0.08,-0.08,-0.51,0.00
4,Exit short,2025-01-08 10:00,Max Hold,3389.82,0.028,99.90428,4.89,4.89,5.95,5.96,-0.42,-0.42,4.39,0.00
4,Entry short,2025-01-07 23:00,Short Entry,3568.01,0.028,99.90428,4.89,4.89,5.95,5.96,-0.42,-0.42,4.39,0.00
5,Exit short,2025-01-09 13:00,Max Hold,3339,0.0306,99.820566,-2.45,-2.46,0.1,0.10,-2.92,-2.92,1.93,0.00
5,Entry short,2025-01-09 02:00,Short Entry,3262.11,0.0306,99.820566,-2.45,-2.46,0.1,0.10,-2.92,-2.92,1.93,0.00
6,Exit short,2025-01-14 07:00,Max Hold,3130.64,0.0327,99.957687,-2.52,-2.52,5.08,5.08,-2.84,-2.84,-0.58,0.00
6,Entry short,2025-01-13 20:00,Short Entry,3056.81,0.0327,99.957687,-2.52,-2.52,5.08,5.08,-2.84,-2.84,-0.58,0.00
7,Exit long,2025-01-15 12:00,Max Hold,3239.99,0.0313,99.846687,1.46,1.47,1.65,1.65,-0.28,-0.28,0.88,0.00
7,Entry long,2025-01-15 01:00,Long Entry,3189.99,0.0313,99.846687,1.46,1.47,1.65,1.65,-0.28,-0.28,0.88,0.00
8,Exit long,2025-01-16 12:00,Max Hold,3362.1,0.0299,99.814871,0.61,0.61,3.98,3.98,-0.51,-0.51,1.49,0.00
8,Entry long,2025-01-16 01:00,Long Entry,3338.29,0.0299,99.814871,0.61,0.61,3.98,3.98,-0.51,-0.51,1.49,0.00
9,Exit long,2025-01-18 12:00,SL,3382.79,0.0284,99.795612,-3.82,-3.83,0.26,0.26,-4.24,-4.25,-2.33,0.00
9,Entry long,2025-01-18 05:00,Long Entry,3513.93,0.0284,99.795612,-3.82,-3.83,0.26,0.26,-4.24,-4.25,-2.33,0.00
10,Exit short,2025-01-19 16:00,Max Hold,3275.02,0.0306,99.905022,-0.41,-0.41,0.16,0.16,-3.5,-3.50,-2.74,0.00
10,Entry short,2025-01-19 05:00,Short Entry,3264.87,0.0306,99.905022,-0.41,-0.41,0.16,0.16,-3.5,-3.50,-2.74,0.00
11,Exit long,2025-01-22 20:00,Max Hold,3325.52,0.0297,99.835659,-1.17,-1.17,0,0.00,-2.69,-2.70,-3.91,0.00
11,Entry long,2025-01-22 09:00,Long Entry,3361.47,0.0297,99.835659,-1.17,-1.17,0,0.00,-2.69,-2.70,-3.91,0.00
12,Exit short,2025-01-23 20:00,Max Hold,3212.79,0.0307,99.865258,1.13,1.13,2.28,2.28,-0.19,-0.19,-2.77,0.00
12,Entry short,2025-01-23 09:00,Short Entry,3252.94,0.0307,99.865258,1.13,1.13,2.28,2.28,-0.19,-0.19,-2.77,0.00
13,Exit short,2025-01-26 01:00,Max Hold,3341.07,0.0303,99.838803,-1.5,-1.50,0.71,0.71,-1.68,-1.68,-4.27,0.00
13,Entry short,2025-01-25 14:00,Short Entry,3295.01,0.0303,99.838803,-1.5,-1.50,0.71,0.71,-1.68,-1.68,-4.27,0.00
14,Exit short,2025-01-27 19:00,Max Hold,3037.1,0.0309,99.82245,5.88,5.89,6.45,6.46,-0.75,-0.75,1.61,0.00
14,Entry short,2025-01-27 08:00,Short Entry,3230.5,0.0309,99.82245,5.88,5.89,6.45,6.46,-0.75,-0.75,1.61,0.00
15,Exit short,2025-01-29 17:00,Max Hold,3146.39,0.0327,99.812499,-3.18,-3.18,0.42,0.42,-3.68,-3.69,-1.57,0.00
15,Entry short,2025-01-29 06:00,Short Entry,3052.37,0.0327,99.812499,-3.18,-3.18,0.42,0.42,-3.68,-3.69,-1.57,0.00
16,Exit long,2025-01-31 09:00,Max Hold,3269.19,0.0306,99.808938,0.13,0.13,0.59,0.59,-1.17,-1.17,-1.44,0.00
16,Entry long,2025-01-30 22:00,Long Entry,3261.73,0.0306,99.808938,0.13,0.13,0.59,0.59,-1.17,-1.17,-1.44,0.00
17,Exit short,2025-02-02 11:00,Max Hold,3114.45,0.0307,99.75658,4.05,4.05,4.52,4.52,-0.56,-0.56,2.61,0.00
17,Entry short,2025-02-02 00:00,Short Entry,3249.4,0.0307,99.75658,4.05,4.05,4.52,4.52,-0.56,-0.56,2.61,0.00
18,Exit short,2025-02-03 07:00,Max Hold,2874.41,0.0326,99.8701,6.07,6.07,10.63,10.63,-1.25,-1.25,8.67,0.01
18,Entry short,2025-02-02 20:00,Short Entry,3063.5,0.0326,99.8701,6.07,6.07,10.63,10.63,-1.25,-1.25,8.67,0.01
19,Exit long,2025-02-04 14:00,SL,2689.78,0.035,99.83085,-5.79,-5.79,0.12,0.12,-6.74,-6.75,2.89,0.00
19,Entry long,2025-02-04 10:00,Long Entry,2852.31,0.035,99.83085,-5.79,-5.79,0.12,0.12,-6.74,-6.75,2.89,0.00
20,Exit short,2025-02-08 02:00,Max Hold,2678.49,0.0371,99.991178,0.52,0.52,1.25,1.25,-3.79,-3.79,3.41,0.00
