Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
119,Entry long,2025-10-03 20:00,Long Entry,4517.66,0.0221,99.840286,-0.97,-0.98,0.47,0.47,-1.32,-1.33,34.46,0.03
120,Exit long,2025-10-07 07:00,Max Hold,4667.49,0.0215,99.691415,0.56,0.56,2.06,2.07,-0.22,-0.22,35.02,0.04
120,Entry long,2025-10-06 14:00,Long Entry,4636.81,0.0215,99.691415,0.56,0.56,2.06,2.07,-0.22,-0.22,35.02,0.04
121,Exit short,2025-10-08 23:00,Max Hold,4519.4,0.0225,99.813825,-1.97,-1.98,0.27,0.27,-2.76,-2.77,33.05,0.03
121,Entry short,2025-10-08 06:00,Short Entry,4436.17,0.0225,99.813825,-1.97,-1.98,0.27,0.27,-2.76,-2.77,33.05,0.03
122,Exit short,2025-10-10 02:00,Max Hold,4371.61,0.0231,99.936606,-1.15,-1.15,1.42,1.42,-2.02,-2.02,31.9,0.03
122,Entry short,2025-10-09 09:00,Short Entry,4326.26,0.0231,99.936606,-1.15,-1.15,1.42,1.42,-2.02,-2.02,31.9,0.03
123,Exit short,2025-10-10 20:00,Max Hold,3994.99,0.0229,99.792246,8.21,8.22,9.34,9.35,-0.83,-0.83,40.11,0.04
123,Entry short,2025-10-10 03:00,Short Entry,4357.74,0.0229,99.792246,8.21,8.22,9.34,9.35,-0.83,-0.83,40.11,0.04
124,Exit long,2025-10-13 09:00,Max Hold,4173.52,0.0247,99.599539,3.39,3.40,4.57,4.59,-0.05,-0.05,43.5,0.04
124,Entry long,2025-10-12 16:00,Long Entry,4032.37,0.0247,99.599539,3.39,3.40,4.57,4.59,-0.05,-0.05,43.5,0.04
125,Exit short,2025-10-15 03:00,Max Hold,4116.54,0.0251,99.993631,-3.43,-3.43,2.43,2.43,-4.55,-4.55,40.06,0.04
125,Entry short,2025-10-14 10:00,Short Entry,3983.81,0.0251,99.993631,-3.43,-3.43,2.43,2.43,-4.55,-4.55,40.06,0.04
126,Exit short,2025-10-16 05:00,Max Hold,3997.15,0.0243,99.594765,2.37,2.37,4.17,4.18,-0.23,-0.23,42.43,0.04
126,Entry short,2025-10-15 12:00,Short Entry,4098.55,0.0243,99.594765,2.37,2.37,4.17,4.18,-0.23,-0.23,42.43,0.04
127,Exit short,2025-10-17 09:00,Max Hold,3707.37,0.0256,99.968768,4.96,4.96,5.13,5.13,-1.62,-1.62,47.39,0.05
127,Entry short,2025-10-16 16:00,Short Entry,3905.03,0.0256,99.968768,4.96,4.96,5.13,5.13,-1.62,-1.62,47.39,0.05
128,Exit short,2025-10-18 16:00,Max Hold,3876,0.0259,99.776383,-0.71,-0.71,0.86,0.86,-1.96,-1.96,46.68,0.05
128,Entry short,2025-10-17 23:00,Short Entry,3852.37,0.0259,99.776383,-0.71,-0.71,0.86,0.86,-1.96,-1.96,46.68,0.05
129,Exit long,2025-10-19 17:00,Max Hold,3979.2,0.0257,99.896157,2.27,2.27,2.88,2.88,-2.03,-2.03,48.95,0.05
129,Entry long,2025-10-19 00:00,Long Entry,3887.01,0.0257,99.896157,2.27,2.27,2.88,2.88,-2.03,-2.03,48.95,0.05
130,Exit long,2025-10-20 12:00,Max Hold,4032.83,0.025,99.99,0.73,0.73,2.09,2.08,-2.37,-2.37,49.68,0.05
130,Entry long,2025-10-19 19:00,Long Entry,3999.6,0.025,99.99,0.73,0.73,2.09,2.08,-2.37,-2.37,49.68,0.05
131,Exit short,2025-10-22 16:00,Max Hold,3839.72,0.0256,99.82464,1.43,1.43,3.39,3.39,-0.3,-0.30,51.11,0.05
131,Entry short,2025-10-21 23:00,Short Entry,3899.4,0.0256,99.82464,1.43,1.43,3.39,3.39,-0.3,-0.30,51.11,0.05
132,Exit short,2025-10-23 11:00,Max Hold,3875.66,0.0262,99.714056,-1.93,-1.93,2.56,2.56,-2.66,-2.67,49.18,0.05
132,Entry short,2025-10-22 18:00,Short Entry,3805.88,0.0262,99.714056,-1.93,-1.93,2.56,2.56,-2.66,-2.67,49.18,0.05
133,Exit long,2025-10-25 03:00,Max Hold,3932.44,0.0252,99.713124,-0.72,-0.72,1.7,1.71,-2.38,-2.39,48.46,0.05
133,Entry long,2025-10-24 10:00,Long Entry,3956.87,0.0252,99.713124,-0.72,-0.72,1.7,1.71,-2.38,-2.39,48.46,0.05
134,Exit long,2025-10-27 06:00,Max Hold,4231.4,0.0245,99.7395,3.83,3.84,4.41,4.42,-0.73,-0.73,52.29,0.05
134,Entry long,2025-10-26 13:00,Long Entry,4071,0.0245,99.7395,3.83,3.84,4.41,4.42,-0.73,-0.73,52.29,0.05
135,Exit short,2025-10-29 13:00,Max Hold,4014,0.0247,99.719334,0.47,0.48,2.72,2.73,-0.12,-0.12,52.76,0.05
135,Entry short,2025-10-28 20:00,Short Entry,4037.22,0.0247,99.719334,0.47,0.48,2.72,2.73,-0.12,-0.12,52.76,0.05
136,Exit short,2025-10-30 09:00,Max Hold,3919.65,0.0253,99.940819,0.67,0.67,2.84,2.84,-1.74,-1.74,53.44,0.05
136,Entry short,2025-10-29 16:00,Short Entry,3950.23,0.0253,99.940819,0.67,0.67,2.84,2.84,-1.74,-1.74,53.44,0.05
137,Exit short,2025-11-01 03:00,Max Hold,3850.58,0.026,99.93802,-0.28,-0.28,1.02,1.02,-1.64,-1.64,53.16,0.05
137,Entry short,2025-10-31 10:00,Short Entry,3843.77,0.026,99.93802,-0.28,-0.28,1.02,1.02,-1.64,-1.64,53.16,0.05
138,Exit long,2025-11-02 04:00,Max Hold,3879.25,0.0258,99.974742,0.01,0.01,0.79,0.79,-0.55,-0.55,53.17,0.05
138,Entry long,2025-11-01 11:00,Long Entry,3874.99,0.0258,99.974742,0.01,0.01,0.79,0.79,-0.55,-0.55,53.17,0.05
139,Exit short,2025-11-03 21:00,Max Hold,3586.83,0.0267,99.717558,3.85,3.86,4.6,4.61,-0.83,-0.83,57.02,0.06
139,Entry short,2025-11-03 04:00,Short Entry,3734.74,0.0267,99.717558,3.85,3.86,4.6,4.61,-0.83,-0.83,57.02,0.06
140,Exit short,2025-11-06 12:00,Flip,3397.84,0.0295,99.814135,-0.52,-0.52,0.7,0.71,-0.96,-0.96,56.5,0.06
140,Entry short,2025-11-06 07:00,Short Entry,3383.53,0.0295,99.814135,-0.52,-0.52,0.7,0.71,-0.96,-0.96,56.5,0.06
141,Exit long,2025-11-07 00:00,Max Hold,3313.7,0.0294,99.896496,-2.57,-2.57,0.13,0.13,-4.54,-4.55,53.93,0.05
141,Entry long,2025-11-06 12:00,Flip to Long,3397.84,0.0294,99.896496,-2.57,-2.57,0.13,0.13,-4.54,-4.55,53.93,0.05
