Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
178,Exit short,2024-12-20 11:00,Mid Exit,3454.82,0.0287,99.837829,0.58,0.59,4.44,4.45,-1.46,-1.46,8.26,0.01
178,Entry short,2024-12-20 02:00,Short Entry,3478.67,0.0287,99.837829,0.58,0.59,4.44,4.45,-1.46,-1.46,8.26,0.01
179,Exit short,2024-12-20 23:00,Mid Exit,3327.28,0.0303,99.701241,-1.22,-1.22,5.72,5.74,-2.06,-2.06,7.05,0.01
179,Entry short,2024-12-20 17:00,Short Entry,3290.47,0.0303,99.701241,-1.22,-1.22,5.72,5.74,-2.06,-2.06,7.05,0.01
180,Exit long,2024-12-21 10:00,Mid Exit,3471.67,0.0295,99.77431,2.54,2.54,3.32,3.33,-0.41,-0.41,9.59,0.01
180,Entry long,2024-12-21 01:00,Long Entry,3382.18,0.0295,99.77431,2.54,2.54,3.32,3.33,-0.41,-0.41,9.59,0.01
181,Exit short,2024-12-22 12:00,Mid Exit,3354.58,0.0293,99.679772,1.29,1.30,3.2,3.21,-0.62,-0.62,10.88,0.01
181,Entry short,2024-12-21 21:00,Short Entry,3402.04,0.0293,99.679772,1.29,1.30,3.2,3.21,-0.62,-0.62,10.88,0.01
182,Exit short,2024-12-23 05:00,Mid Exit,3289.4,0.0308,99.979572,-1.43,-1.43,0.77,0.77,-1.41,-1.41,9.44,0.01
182,Entry short,2024-12-23 04:00,Short Entry,3246.09,0.0308,99.979572,-1.43,-1.43,0.77,0.77,-1.41,-1.41,9.44,0.01
183,Exit long,2024-12-24 11:00,Mid Exit,3371.63,0.0292,99.9078,-1.56,-1.56,1.24,1.24,-1.96,-1.96,7.89,0.01
183,Entry long,2024-12-24 06:00,Long Entry,3421.5,0.0292,99.9078,-1.56,-1.56,1.24,1.24,-1.96,-1.96,7.89,0.01
184,Exit short,2024-12-31 04:00,Mid Exit,3401.7,0.0301,99.77247,-2.72,-2.72,0.33,0.33,-2.87,-2.88,5.17,0.01
184,Entry short,2024-12-30 23:00,Short Entry,3314.7,0.0301,99.77247,-2.72,-2.72,0.33,0.33,-2.87,-2.88,5.17,0.01
185,Exit long,2025-01-04 09:00,Mid Exit,3601.98,0.0279,99.984951,0.41,0.41,1.24,1.24,-0.35,-0.35,5.58,0.01
185,Entry long,2025-01-04 01:00,Long Entry,3583.69,0.0279,99.984951,0.41,0.41,1.24,1.24,-0.35,-0.35,5.58,0.01
186,Exit short,2025-01-08 10:00,Mid Exit,3389.82,0.0288,99.682848,1.96,1.96,3.05,3.06,-0.9,-0.91,7.54,0.01
186,Entry short,2025-01-08 00:00,Short Entry,3461.21,0.0288,99.682848,1.96,1.96,3.05,3.06,-0.9,-0.91,7.54,0.01
187,Exit short,2025-01-08 19:00,Mid Exit,3360.91,0.0302,99.889822,-1.71,-1.71,0,0.00,-2.13,-2.13,5.83,0.01
187,Entry short,2025-01-08 15:00,Short Entry,3307.61,0.0302,99.889822,-1.71,-1.71,0,0.00,-2.13,-2.13,5.83,0.01
188,Exit short,2025-01-10 10:00,Mid Exit,3235.53,0.0311,99.698825,-1.03,-1.03,0.56,0.56,-1.08,-1.09,4.8,0.00
188,Entry short,2025-01-10 06:00,Short Entry,3205.75,0.0311,99.698825,-1.03,-1.03,0.56,0.56,-1.08,-1.09,4.8,0.00
189,Exit short,2025-01-14 05:00,Mid Exit,3090.36,0.0313,99.847,3.02,3.02,9.03,9.04,-0.64,-0.64,7.82,0.01
189,Entry short,2025-01-13 15:00,Short Entry,3190,0.0313,99.847,3.02,3.02,9.03,9.04,-0.64,-0.64,7.82,0.01
190,Exit long,2025-01-14 21:00,Mid Exit,3182.4,0.0319,99.867416,1.55,1.55,3.94,3.95,-0.28,-0.28,9.37,0.01
190,Entry long,2025-01-14 07:00,Long Entry,3130.64,0.0319,99.867416,1.55,1.55,3.94,3.95,-0.28,-0.28,9.37,0.01
191,Exit long,2025-01-16 10:00,Mid Exit,3402.56,0.03,99.9888,1.99,1.99,4.15,4.15,-0.35,-0.35,11.36,0.01
191,Entry long,2025-01-16 00:00,Long Entry,3332.96,0.03,99.9888,1.99,1.99,4.15,4.15,-0.35,-0.35,11.36,0.01
