Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
177,Exit long,2025-02-18 07:00,Max Hold,2661.83,0.0353,99.741562,-5.78,-5.79,0.82,0.82,-6.19,-6.20,94.26,0.09
177,Entry long,2025-02-17 15:00,Long Entry,2825.54,0.0353,99.741562,-5.78,-5.79,0.82,0.82,-6.19,-6.20,94.26,0.09
178,Exit long,2025-02-22 06:00,Max Hold,2689.3,0.0352,99.79904,-5.14,-5.15,0.09,0.09,-7.76,-7.78,89.12,0.09
178,Entry long,2025-02-21 14:00,Long Entry,2835.2,0.0352,99.79904,-5.14,-5.15,0.09,0.09,-7.76,-7.78,89.12,0.09
179,Exit short,2025-02-25 15:00,Max Hold,2378.05,0.0398,99.765068,5.12,5.13,8.74,8.76,-1.58,-1.58,94.24,0.09
179,Entry short,2025-02-24 23:00,Short Entry,2506.66,0.0398,99.765068,5.12,5.13,8.74,8.76,-1.58,-1.58,94.24,0.09
180,Exit short,2025-02-27 11:00,Max Hold,2376.83,0.0436,99.915504,-3.72,-3.72,1.69,1.70,-3.97,-3.98,90.53,0.09
180,Entry short,2025-02-26 19:00,Short Entry,2291.64,0.0436,99.915504,-3.72,-3.72,1.69,1.70,-3.97,-3.98,90.53,0.09
181,Exit short,2025-02-28 19:00,Max Hold,2227.25,0.0461,99.882104,-2.8,-2.80,4.45,4.46,-4.09,-4.10,87.73,0.09
181,Entry short,2025-02-28 03:00,Short Entry,2166.64,0.0461,99.882104,-2.8,-2.80,4.45,4.46,-4.09,-4.10,87.73,0.09
182,Exit long,2025-03-03 09:00,Max Hold,2344.19,0.0409,99.864712,-3.99,-3.99,4.43,4.44,-4.54,-4.55,83.74,0.08
182,Entry long,2025-03-02 17:00,Long Entry,2441.68,0.0409,99.864712,-3.99,-3.99,4.43,4.44,-4.54,-4.55,83.74,0.08
183,Exit short,2025-03-10 10:00,Max Hold,2100.99,0.0494,99.927802,-3.86,-3.86,1.78,1.78,-6.43,-6.44,79.88,0.08
