Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1259,Exit short,2025-09-17 05:00,Mid Exit,4496.17,0.0222,99.8112,-0.1,-0.10,1.61,1.62,-0.38,-0.38,-5.01,-0.01
1259,Entry short,2025-09-16 19:00,Short Entry,4496,0.0222,99.8112,-0.1,-0.10,1.61,1.62,-0.38,-0.38,-5.01,-0.01
1260,Exit short,2025-09-18 04:00,Mid Exit,4515.14,0.0223,99.945255,-0.84,-0.84,1.68,1.68,-1.17,-1.17,-5.85,-0.01
1260,Entry short,2025-09-17 19:00,Short Entry,4481.85,0.0223,99.945255,-0.84,-0.84,1.68,1.68,-1.17,-1.17,-5.85,-0.01
1261,Exit long,2025-09-18 16:00,Mid Exit,4573.11,0.0218,99.95627,-0.36,-0.36,1.2,1.20,-0.78,-0.78,-6.21,-0.01
1261,Entry long,2025-09-18 07:00,Long Entry,4585.15,0.0218,99.95627,-0.36,-0.36,1.2,1.20,-0.78,-0.78,-6.21,-0.01
1262,Exit short,2025-09-20 13:00,Mid Exit,4472.27,0.0219,99.589155,1.55,1.55,2.46,2.47,-0.26,-0.26,-4.66,0.00
1262,Entry short,2025-09-19 12:00,Short Entry,4547.45,0.0219,99.589155,1.55,1.55,2.46,2.47,-0.26,-0.26,-4.66,0.00
1263,Exit long,2025-09-21 03:00,Mid Exit,4472.79,0.0222,99.819192,-0.62,-0.62,0.18,0.18,-0.7,-0.70,-5.29,-0.01
1263,Entry long,2025-09-21 00:00,Long Entry,4496.36,0.0222,99.819192,-0.62,-0.62,0.18,0.18,-0.7,-0.70,-5.29,-0.01
1264,Exit short,2025-09-21 15:00,Mid Exit,4482.9,0.0223,99.680108,-0.39,-0.39,0.08,0.08,-0.53,-0.53,-5.67,-0.01
1264,Entry short,2025-09-21 13:00,Short Entry,4469.96,0.0223,99.680108,-0.39,-0.39,0.08,0.08,-0.53,-0.53,-5.67,-0.01
1265,Exit short,2025-09-21 22:00,Mid Exit,4474.01,0.0223,99.620121,-0.25,-0.25,0.56,0.56,-0.33,-0.33,-5.92,-0.01
1265,Entry short,2025-09-21 17:00,Short Entry,4467.27,0.0223,99.620121,-0.25,-0.25,0.56,0.56,-0.33,-0.33,-5.92,-0.01
1266,Exit short,2025-09-23 05:00,Mid Exit,4179.78,0.0225,99.9675,5.83,5.82,9.9,9.90,-0.3,-0.30,-0.1,0.00
1266,Entry short,2025-09-22 08:00,Short Entry,4443,0.0225,99.9675,5.83,5.82,9.9,9.90,-0.3,-0.30,-0.1,0.00
1267,Exit short,2025-09-23 12:00,Mid Exit,4186.49,0.0241,99.821959,-1.17,-1.17,0.66,0.66,-1.35,-1.36,-1.27,0.00
1267,Entry short,2025-09-23 11:00,Short Entry,4141.99,0.0241,99.821959,-1.17,-1.17,0.66,0.66,-1.35,-1.36,-1.27,0.00
1268,Exit short,2025-09-24 07:00,Mid Exit,4179.7,0.0241,99.94511,-0.89,-0.89,0.19,0.19,-1.07,-1.07,-2.16,0.00
1268,Entry short,2025-09-24 02:00,Short Entry,4147.1,0.0241,99.94511,-0.89,-0.89,0.19,0.19,-1.07,-1.07,-2.16,0.00
1269,Exit short,2025-09-24 14:00,Mid Exit,4170.58,0.0241,99.904381,-0.71,-0.71,1.77,1.77,-0.74,-0.74,-2.87,0.00
1269,Entry short,2025-09-24 12:00,Short Entry,4145.41,0.0241,99.904381,-0.71,-0.71,1.77,1.77,-0.74,-0.74,-2.87,0.00
1270,Exit short,2025-09-24 23:00,Mid Exit,4191.76,0.0241,99.978609,-1.14,-1.14,0,0.00,-1.41,-1.41,-4.01,0.00
1270,Entry short,2025-09-24 22:00,Short Entry,4148.49,0.0241,99.978609,-1.14,-1.14,0,0.00,-1.41,-1.41,-4.01,0.00
1271,Exit short,2025-09-26 06:00,Max Hold,3903.6,0.024,99.8148,6.03,6.04,8.04,8.05,-0.31,-0.31,2.02,0.00
1271,Entry short,2025-09-25 04:00,Short Entry,4158.95,0.024,99.8148,6.03,6.04,8.04,8.05,-0.31,-0.31,2.02,0.00
1272,Exit short,2025-09-26 21:00,Mid Exit,3935.34,0.0257,99.880994,-1.36,-1.36,0.35,0.35,-1.97,-1.97,0.67,0.00
1272,Entry short,2025-09-26 19:00,Short Entry,3886.42,0.0257,99.880994,-1.36,-1.36,0.35,0.35,-1.97,-1.97,0.67,0.00
1273,Exit long,2025-09-27 14:00,Mid Exit,4018.05,0.0247,99.843822,-0.7,-0.70,0.55,0.55,-1.05,-1.05,-0.03,0.00
1273,Entry long,2025-09-27 02:00,Long Entry,4042.26,0.0247,99.843822,-0.7,-0.70,0.55,0.55,-1.05,-1.05,-0.03,0.00
1274,Exit short,2025-09-27 21:00,Mid Exit,4027.2,0.0249,99.7494,-0.63,-0.63,0.81,0.81,-0.86,-0.86,-0.66,0.00
1274,Entry short,2025-09-27 16:00,Short Entry,4006,0.0249,99.7494,-0.63,-0.63,0.81,0.81,-0.86,-0.86,-0.66,0.00
1275,Exit short,2025-09-28 14:00,Mid Exit,4009,0.025,99.875,-0.45,-0.45,0,0.00,-0.64,-0.64,-1.11,0.00
1275,Entry short,2025-09-28 10:00,Short Entry,3995,0.025,99.875,-0.45,-0.45,0,0.00,-0.64,-0.64,-1.11,0.00
1276,Exit short,2025-09-28 22:00,Mid Exit,4011.75,0.025,99.84425,-0.55,-0.55,0.72,0.72,-0.78,-0.78,-1.66,0.00
1276,Entry short,2025-09-28 18:00,Short Entry,3993.77,0.025,99.84425,-0.55,-0.55,0.72,0.72,-0.78,-0.78,-1.66,0.00
1277,Exit long,2025-09-29 15:00,Mid Exit,4095.37,0.0242,99.957374,-0.95,-0.95,0.28,0.28,-0.95,-0.95,-2.61,0.00
1277,Entry long,2025-09-29 07:00,Long Entry,4130.47,0.0242,99.957374,-0.95,-0.95,0.28,0.28,-0.95,-0.95,-2.61,0.00
1278,Exit short,2025-09-29 22:00,Mid Exit,4166.98,0.0243,99.651384,-1.71,-1.71,0.46,0.46,-2.08,-2.09,-4.32,0.00
1278,Entry short,2025-09-29 20:00,Short Entry,4100.88,0.0243,99.651384,-1.71,-1.71,0.46,0.46,-2.08,-2.09,-4.32,0.00
1279,Exit short,2025-10-01 04:00,Mid Exit,4158.48,0.0239,99.599187,0.11,0.11,1.77,1.78,-0.25,-0.25,-4.2,0.00
1279,Entry short,2025-09-30 17:00,Short Entry,4167.33,0.0239,99.599187,0.11,0.11,1.77,1.78,-0.25,-0.25,-4.2,0.00
1280,Exit long,2025-10-02 06:00,Mid Exit,4302.52,0.0233,99.956767,0.19,0.19,1.19,1.19,-0.37,-0.37,-4.01,0.00
1280,Entry long,2025-10-01 17:00,Long Entry,4289.99,0.0233,99.956767,0.19,0.19,1.19,1.19,-0.37,-0.37,-4.01,0.00
1281,Exit long,2025-10-02 23:00,Mid Exit,4372.54,0.0227,99.672522,-0.52,-0.52,0.66,0.67,-0.84,-0.84,-4.53,0.00
1281,Entry long,2025-10-02 10:00,Long Entry,4390.86,0.0227,99.672522,-0.52,-0.52,0.66,0.67,-0.84,-0.84,-4.53,0.00
1282,Exit long,2025-10-03 14:00,Mid Exit,4474.69,0.0225,99.79875,0.78,0.78,2.73,2.73,-0.32,-0.32,-3.75,0.00
1282,Entry long,2025-10-03 00:00,Long Entry,4435.5,0.0225,99.79875,0.78,0.78,2.73,2.73,-0.32,-0.32,-3.75,0.00
1283,Exit long,2025-10-04 02:00,Mid Exit,4469.56,0.022,99.7304,-1.5,-1.50,1.22,1.22,-1.85,-1.85,-5.24,-0.01
1283,Entry long,2025-10-04 00:00,Long Entry,4533.2,0.022,99.7304,-1.5,-1.50,1.22,1.22,-1.85,-1.85,-5.24,-0.01
1284,Exit short,2025-10-05 06:00,Mid Exit,4482.5,0.0223,99.642198,-0.42,-0.42,0.62,0.63,-0.59,-0.59,-5.66,-0.01
1284,Entry short,2025-10-04 23:00,Short Entry,4468.26,0.0223,99.642198,-0.42,-0.42,0.62,0.63,-0.59,-0.59,-5.66,-0.01
1285,Exit long,2025-10-05 21:00,Mid Exit,4530,0.0219,99.59025,-0.48,-0.48,1.5,1.51,-0.62,-0.62,-6.14,-0.01
1285,Entry long,2025-10-05 11:00,Long Entry,4547.5,0.0219,99.59025,-0.48,-0.48,1.5,1.51,-0.62,-0.62,-6.14,-0.01
