Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2023-01-02 20:00,Max Hold,1218.5,0.0822,99.899304,0.16,0.16,0.75,0.75,-0.22,-0.22,0.16,0.00
1,Entry long,2023-01-02 09:00,Long Entry,1215.32,0.0822,99.899304,0.16,0.16,0.75,0.75,-0.22,-0.22,0.16,0.00
2,Exit long,2023-01-04 15:00,Max Hold,1250.72,0.0799,99.901367,-0.07,-0.07,0.81,0.81,-0.31,-0.31,0.09,0.00
2,Entry long,2023-01-04 04:00,Long Entry,1250.33,0.0799,99.901367,-0.07,-0.07,0.81,0.81,-0.31,-0.31,0.09,0.00
3,Exit short,2023-01-08 12:00,Max Hold,1260.84,0.0793,99.974303,-0.11,-0.11,0.12,0.12,-0.46,-0.46,-0.02,0.00
3,Entry short,2023-01-08 01:00,Short Entry,1260.71,0.0793,99.974303,-0.11,-0.11,0.12,0.12,-0.46,-0.46,-0.02,0.00
4,Exit long,2023-01-09 11:00,Max Hold,1322.23,0.0775,99.9471,2.42,2.42,2.92,2.92,-0.42,-0.42,2.41,0.00
4,Entry long,2023-01-09 00:00,Long Entry,1289.64,0.0775,99.9471,2.42,2.42,2.92,2.92,-0.42,-0.42,2.41,0.00
5,Exit long,2023-01-12 11:00,Max Hold,1399.89,0.0719,99.887075,0.66,0.67,2.14,2.14,-0.31,-0.31,3.07,0.00
5,Entry long,2023-01-12 00:00,Long Entry,1389.25,0.0719,99.887075,0.66,0.67,2.14,2.14,-0.31,-0.31,3.07,0.00
6,Exit long,2023-01-13 05:00,Max Hold,1410.48,0.0699,99.868926,-1.38,-1.38,0.69,0.69,-2.01,-2.01,1.7,0.00
6,Entry long,2023-01-12 18:00,Long Entry,1428.74,0.0699,99.868926,-1.38,-1.38,0.69,0.69,-2.01,-2.01,1.7,0.00
7,Exit long,2023-01-14 12:00,Max Hold,1530.91,0.0648,99.964368,-0.86,-0.86,1.54,1.54,-2.46,-2.46,0.83,0.00
7,Entry long,2023-01-14 01:00,Long Entry,1542.66,0.0648,99.964368,-0.86,-0.86,1.54,1.54,-2.46,-2.46,0.83,0.00
8,Exit long,2023-01-15 04:00,Max Hold,1527,0.0653,99.931202,-0.32,-0.32,2.15,2.15,-0.99,-0.99,0.52,0.00
